"","id","cond","vibtype","blocknum","count","correct","rt"
"1","p1","armbody","2color",1,48,62.5,5317.60416666667
"2","p1","armbody","2color",2,48,64.5833333333333,4873.02083333333
"3","p1","armbody","4color",1,48,43.75,4215.3125
"4","p1","armbody","4color",2,48,56.25,3595.95833333333
"5","p1","armbody","baseline",1,48,37.5,4501.91666666667
"6","p1","armbody","baseline",2,48,27.0833333333333,4258.10416666667
"7","p1","armfront","2color",1,48,87.5,3183.375
"8","p1","armfront","2color",2,48,83.3333333333333,3439.875
"9","p1","armfront","4color",1,48,95.8333333333333,3112.16666666667
"10","p1","armfront","4color",2,48,89.5833333333333,3398.875
"11","p1","armfront","baseline",1,48,56.25,4700.29166666667
"12","p1","armfront","baseline",2,48,50,5003.72916666667
"13","p2","armbody","2color",1,48,37.5,2306.10416666667
"14","p2","armbody","2color",2,48,58.3333333333333,2613.125
"15","p2","armbody","4color",1,48,20.8333333333333,4487.45833333333
"16","p2","armbody","4color",2,48,31.25,3186.66666666667
"17","p2","armbody","baseline",1,48,14.5833333333333,3368.4375
"18","p2","armbody","baseline",2,48,14.5833333333333,3598.66666666667
"19","p2","armfront","2color",1,48,77.0833333333333,4724.54166666667
"20","p2","armfront","2color",2,48,58.3333333333333,5498.85416666667
"21","p2","armfront","4color",1,48,64.5833333333333,3566.85416666667
"22","p2","armfront","4color",2,48,60.4166666666667,4304.16666666667
"23","p2","armfront","baseline",1,48,52.0833333333333,3147.79166666667
"24","p2","armfront","baseline",2,48,58.3333333333333,3291.02083333333
"25","p3","armbody","2color",1,48,66.6666666666667,3308.22916666667
"26","p3","armbody","2color",2,48,66.6666666666667,3308.22916666667
"27","p3","armbody","4color",1,48,54.1666666666667,3924.4375
"28","p3","armbody","4color",2,48,50,3617.25
"29","p3","armbody","baseline",1,48,20.8333333333333,3802.58333333333
"30","p3","armbody","baseline",2,48,22.9166666666667,5056.70833333333
"31","p3","armfront","2color",1,48,95.8333333333333,2913
"32","p3","armfront","2color",2,48,72.9166666666667,2364.20833333333
"33","p3","armfront","4color",1,48,91.6666666666667,3811.66666666667
"34","p3","armfront","4color",2,48,93.75,3686.41666666667
"35","p3","armfront","baseline",1,48,29.1666666666667,3294.97916666667
"36","p3","armfront","baseline",2,48,41.6666666666667,3462.85416666667
"37","p4","armbody","2color",1,48,91.6666666666667,3020.33333333333
"38","p4","armbody","2color",2,48,91.6666666666667,2767.0625
"39","p4","armbody","4color",1,48,87.5,1917.58333333333
"40","p4","armbody","4color",2,48,87.5,2226.1875
"41","p4","armbody","baseline",1,48,64.5833333333333,3082.04166666667
"42","p4","armbody","baseline",2,48,58.3333333333333,2902.83333333333
"43","p4","armfront","2color",1,48,75,2405.9375
"44","p4","armfront","2color",2,48,85.4166666666667,2432
"45","p4","armfront","4color",1,48,64.5833333333333,3342.35416666667
"46","p4","armfront","4color",2,48,75,2905.66666666667
"47","p4","armfront","baseline",1,48,52.0833333333333,2228.85416666667
"48","p4","armfront","baseline",2,48,66.6666666666667,1992.375
"49","p5","armbody","2color",1,48,77.0833333333333,4733.60416666667
"50","p5","armbody","2color",2,48,79.1666666666667,4796.875
"51","p5","armbody","4color",1,48,66.6666666666667,4169.89583333333
"52","p5","armbody","4color",2,48,70.8333333333333,4032.20833333333
"53","p5","armbody","baseline",1,48,10.4166666666667,3946.25
"54","p5","armbody","baseline",2,48,14.5833333333333,4225.45833333333
"55","p5","armfront","2color",1,48,87.5,2630.85416666667
"56","p5","armfront","2color",2,48,89.5833333333333,2860.95833333333
"57","p5","armfront","4color",1,48,81.25,2985.5625
"58","p5","armfront","4color",2,48,87.5,2891.97916666667
"59","p5","armfront","baseline",1,48,27.0833333333333,3384.27083333333
"60","p5","armfront","baseline",2,48,39.5833333333333,3266.39583333333
"61","p6","armbody","2color",1,48,60.4166666666667,2969.60416666667
"62","p6","armbody","2color",2,48,50,2906.52083333333
"63","p6","armbody","4color",1,48,35.4166666666667,4748.27083333333
"64","p6","armbody","4color",2,48,50,4334.4375
"65","p6","armbody","baseline",1,48,20.8333333333333,2172.29166666667
"66","p6","armbody","baseline",2,48,10.4166666666667,2168.89583333333
"67","p6","armfront","2color",1,48,79.1666666666667,2299.3125
"68","p6","armfront","2color",2,48,68.75,2138.875
"69","p6","armfront","4color",1,48,70.8333333333333,2901.35416666667
"70","p6","armfront","4color",2,48,75,2594.8125
"71","p6","armfront","baseline",1,48,12.5,3479.29166666667
"72","p6","armfront","baseline",2,48,4.16666666666667,3140.41666666667
"73","p7","armbody","2color",1,48,50,3636.14583333333
"74","p7","armbody","2color",2,48,52.0833333333333,3166.64583333333
